scenario,method,feasible,total_cost,remote_flights,zone_mismatches,weighted_walk_m,service_ext_min,n_delayed
64,FCFS,True,64388.8,10.0,18.0,535.51,521.0,14
64,Priority Dispatch,True,48677.8,8.0,17.0,386.53,474.0,14
64,Optimized MILP,True,45232.5,7.0,11.0,369.72,422.0,14
65,FCFS,False,,,,,,10
65,Priority Dispatch,False,,,,,,10
65,Optimized MILP,False,,,,,,10
66,FCFS,True,61291.5,10.0,16.0,506.74,519.0,8
66,Priority Dispatch,True,54301.7,10.0,15.0,428.42,519.0,8
66,Optimized MILP,True,51288.3,9.0,10.0,411.09,470.0,8
67,FCFS,True,58806.8,9.0,15.0,488.98,486.0,15
67,Priority Dispatch,True,51695.3,9.0,14.0,410.22,489.0,15
67,Optimized MILP,True,49069.9,8.0,10.0,403.29,445.0,15
68,FCFS,True,57200.7,9.0,22.0,462.15,517.0,15
68,Priority Dispatch,True,52059.6,9.0,16.0,410.15,494.0,15
68,Optimized MILP,True,47926.6,8.0,13.0,382.26,456.0,15
69,FCFS,False,,,,,,9
69,Priority Dispatch,False,,,,,,9
69,Optimized MILP,False,,,,,,9
70,FCFS,True,55193.0,8.0,20.0,456.97,482.0,12
70,Priority Dispatch,True,51496.2,9.0,15.0,407.22,489.0,12
70,Optimized MILP,True,48607.5,8.0,11.0,393.38,447.0,12
71,FCFS,True,67368.2,11.0,16.0,562.53,544.0,11
71,Priority Dispatch,True,49828.0,8.0,18.0,401.62,481.0,11
71,Optimized MILP,True,49049.8,8.0,12.0,400.41,456.0,11
72,FCFS,True,58969.0,9.0,21.0,484.21,511.0,10
72,Priority Dispatch,True,54666.2,10.0,16.0,429.03,523.0,10
72,Optimized MILP,True,48901.9,8.0,11.0,397.42,447.0,10
73,FCFS,True,55284.7,8.0,18.0,460.01,473.0,14
73,Priority Dispatch,True,51597.2,9.0,16.0,409.15,493.0,14
73,Optimized MILP,True,48616.4,8.0,11.0,393.5,447.0,14
74,FCFS,True,57613.0,9.0,16.0,475.62,490.0,13
74,Priority Dispatch,True,54717.0,10.0,15.0,430.82,521.0,13
74,Optimized MILP,True,46668.5,7.0,11.0,390.65,425.0,13
75,FCFS,True,62309.6,10.0,19.0,512.48,531.0,10
75,Priority Dispatch,True,56718.5,11.0,14.0,440.86,540.0,10
75,Optimized MILP,True,50404.8,9.0,12.0,400.48,477.0,10
76,FCFS,True,57003.9,8.0,19.0,478.79,478.0,9
76,Priority Dispatch,True,51775.4,9.0,15.0,411.87,493.0,9
76,Optimized MILP,True,46630.0,7.0,12.0,386.56,427.0,9
77,FCFS,True,64159.3,10.0,17.0,536.75,517.0,10
77,Priority Dispatch,True,49202.2,8.0,17.0,392.9,470.0,10
77,Optimized MILP,True,42563.2,6.0,15.0,346.82,410.0,10
78,FCFS,True,60572.8,10.0,17.0,494.96,523.0,8
78,Priority Dispatch,True,54409.9,10.0,15.0,426.2,516.0,8
